LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
526;152160100;Oborniki;Warta (18);52 38 37;16 48 49;
527;152160110;Kowanówko;Wełna (186);52 40 07;16 50 12;
528;152160130;Mosina;Kanał Mosiński (1856);52 14 54;16 51 23;
529;152160140;Poznań-Most Rocha;Warta (18);52 24 08;16 56 43;
530;152160150;Głuszyna;Kopel (18574);52 19 01;16 57 12;
531;152170010;Śrem;Warta (18);52 05 35;17 00 58;
532;152170030;Wierzenica;Główna (18592);52 27 33;17 04 17;
533;152170040;Pruśce;Wełna (186);52 46 23;17 05 54;
534;152170060;Nowa Wieś Podgórna;Warta (18);52 08 30;17 35 24;
535;152170080;Pyzdry;Warta (18);52 10 04;17 41 43;
536;152170120;Samarzewo;Wrześnica (1838);52 13 24;17 44 35;
537;152170130;Ląd;Warta (18);52 12 13;17 53 10;
538;152170150;Trąbczyn;Czarna Struga (18356);52 08 17;17 58 34;
539;152179994;Raszewy;Lutynia (1852);52 05 24;17 36 59;
540;152180010;Gębice;Noteć Zachodnia (1882);52 36 02;18 02 00;
541;152180020;Goryszewo;Panna (18826);52 37 37;18 02 07;
542;152180030;Pakość;Noteć (188);52 48 00;18 05 35;
543;152180050;Sławsk;Warta (18);52 11 54;18 08 00;
544;152180060;Posoka;Powa (18352);52 12 11;18 13 21;
545;152180090;Noć Kalina;Noteć (188);52 26 18;18 22 50;
546;152180100;Łysek;Noteć (188);52 24 24;18 30 13;
547;152180110;Kościelec;Kiełbaska Duża (18334);52 10 31;18 34 31;
548;152180120;Koło;Warta (18);52 11 43;18 38 04;
549;152180130;OTŁOCZYNEK;Tążyna (2796);52 53 51;18 41 25;
550;152180140;Grzegorzew;Rgilewka (18332);52 12 00;18 44 34;
551;152180150;Dąbie;Ner (1832);52 05 05;18 49 26;
552;152180160;Konin-Morzysław;Kanał Ślesiński (1834);52 13 50;18 17 39;
553;152180180;Zaborowo;Pichna (18812);52 25 10;18 24 42;
554;152190030;WŁOCŁAWEK;Wisła (2);52 39 48;19 04 10;
555;152190050;Kwiatkówek;Bzura (272);52 03 45;19 13 03;
556;152190100;Bielawy;Mroga (27234);52 04 25;19 39 00;
557;152190110;Sierpc;Sierpienica (27564);52 51 25;19 40 15;
558;152190120;KĘPA POLSKA;Wisła (2);52 25 53;19 57 48;
559;152190160;Babiec;Skrwa (2756);52 54 08;19 41 22;
560;152199992;Łowicz;Bzura (272);52 06 36;19 57 37;
561;152199997;Kutno;Ochnia (27218);52 13 57;19 21 01;
562;152200010;Kęszyce;Rawka (2726);52 08 09;20 07 53;
563;152200020;Trzciniec;Wkra (268);52 55 50;20 10 19;
564;152200030;WYSZOGRÓD;Wisła (2);52 23 05;20 11 35;
565;152200050;Żuków;Bzura (272);52 15 42;20 16 09;
566;152200070;Władysławów;Łasica (27296);52 19 20;20 21 15;
567;152200080;Strachowo;Płonka (26876);52 37 50;20 26 19;
568;152200090;Krubice;Utrata (2728);52 14 23;20 27 06;
569;152200100;Luberadz;Łydynia (2686);52 45 41;20 28 38;
570;152200110;MODLIN;Wisła (2);52 25 50;20 39 35;
571;152200120;Borkowo;Wkra (268);52 33 42;20 39 56;
572;152200130;Orzechowo;Narew (26);52 29 17;20 51 52;
573;152200150;WYCHÓDŹC;Wisła (2);52 23 38;20 25 22;
574;152209994;Nowe Miasto;Sona (2688);52 39 21;20 37 58;
575;152209996;Sochocin;Wkra (268);52 41 07;20 28 09;
576;152209997;Duranów;Pisia Gągolina (27276);52 11 59;20 14 21;
577;152210020;Piaseczno 2;Jeziorka (258);52 03 48;21 02 22;
578;152210030;MAKÓW MAZOWIECKI;Orzyc (2658);52 51 39;21 06 25;
579;152210040;Warszawa-Nadwilanówka;Wisła (2);52 11 11;21 06 29;
580;152210060;ZAMBSKI KOŚCIELNE;Narew (26);52 45 22;21 12 22;
581;152210070;WÓLKA MLĄDZKA;Świder (256);52 08 21;21 19 49;
582;152210090;Wyszków;Bug (26714);52 35 18;21 27 10;
583;152210100;CZARNOWO;Orz (2656);52 53 00;21 32 14;
584;152210110;Zawiszyn;Osownica (2671488);52 29 12;21 39 22;
585;152210120;Łochów;Liwiec (267148);52 30 36;21 40 42;
586;152210130;Nowe Kaczkowo;Brok (2671476);52 43 42;21 57 20;
587;152210140;JAGODNE;Kostrzyń (2671484);52 12 06;21 58 41;
588;152210150;Popowo;Bug (26714);52 31 41;21 10 32;
589;152210170;WARSZAWA-BULWARY;Wisła (2);52 14 50;21 01 15;
590;152210180;Pułtusk;Narew (26);52 42 10;21 05 36;
591;152219993;Różan;Narew (26);52 53 07;21 24 22;
592;152219996;Zielonka;Długa (267184);52 18 46;21 08 25;
593;152220010;Zaliwie-Piegawki;Liwiec (267148);52 15 11;22 05 41;
594;152220050;Frankopol;Bug (26714);52 24 54;22 33 39;
595;152220060;HRUSZEW;Toczna (2671458);52 19 14;22 43 13;
596;152220070;Brańsk;Nurzec (267146);52 44 38;22 49 07;
597;152220080;SURAŻ;Narew (26);52 56 56;22 57 18;
598;152220100;Kozarze;Nurzec (267146);52 40 11;22 28 35;
599;152229999;MAŁKINIA;Bug (26714);52 40 27;22 00 58;
600;152230010;Boćki;Nurzec (267146);52 39 06;23 02 17;
601;152230020;Porosiuki;Krzna (267144);52 01 12;23 03 31;
602;152230030;CHRABOŁY;Orlanka (2614);52 51 44;23 11 45;
603;152230040;PLOSKI;Narew (26);52 54 08;23 13 56;
604;152230050;Perkowice;Zielawa (2671448);51 59 47;23 17 06;
605;152230060;TRZEŚCIANKA;Rudnia (26136);52 56 20;23 25 32;
606;152230070;Malowa Góra;Krzna (267144);52 06 13;23 28 03;
607;152230080;Krzyczew;Bug (26714);52 08 49;23 29 57;
608;152230090;NAREW;Narew (26);52 54 57;23 31 22;
609;152230100;NAREWKA;Narewka (2612);52 51 47;23 43 31;
610;152230110;BONDARY;Narew (26);52 56 25;23 44 56;
611;152230120;SIEMIANÓWKA;Narew (26);52 56 25;23 45 26;
612;152230190;BIAŁOWIEŻA-PARK;Narewka (2612);52 42 05;23 50 29;
613;152230200;ZABUŻE;Bug (26714);52 19 03;23 02 56;
614;153140010;Świnoujście;Morze Bałtyckie (0);53 54 30;14 15 52;
615;153140020;Widuchowa;Odra (1);53 07 21;14 22 55;
616;153140030;Gryfino;Odra (1);53 15 25;14 29 04;
617;153140040;Trzebież;Zalew Szczeciński (319);53 39 33;14 31 08;
